year,month,aCaN
2001,1,5.385
2001,2,5.385
2001,3,5.385
2001,4,5.385
2001,5,5.385
2001,6,5.385
2001,7,5.385
2001,8,5.385
2001,9,5.385
2001,10,5.385
2001,11,5.385
2001,12,5.385
2002,1,5.891
2002,2,5.891
2002,3,5.891
2002,4,5.891
2002,5,5.891
2002,6,5.891
2002,7,5.891
2002,8,5.891
2002,9,5.891
2002,10,5.891
2002,11,5.891
2002,12,5.891
2003,1,5.364
2003,2,5.364
2003,3,5.364
2003,4,5.364
2003,5,5.364
2003,6,5.364
2003,7,5.364
2003,8,5.364
2003,9,5.364
2003,10,5.364
2003,11,5.364
2003,12,5.364
2004,1,5.454
2004,2,5.454
2004,3,5.454
2004,4,5.454
2004,5,5.454
2004,6,5.454
2004,7,5.454
2004,8,5.454
2004,9,5.454
2004,10,5.454
2004,11,5.454
2004,12,5.454
2005,1,5.642
2005,2,5.642
2005,3,5.642
2005,4,5.642
2005,5,5.642
2005,6,5.642
2005,7,5.642
2005,8,5.642
2005,9,5.642
2005,10,5.642
2005,11,5.642
2005,12,5.642
2006,1,5.639
2006,2,5.639
2006,3,5.639
2006,4,5.639
2006,5,5.639
2006,6,5.639
2006,7,5.639
2006,8,5.639
2006,9,5.639
2006,10,5.639
2006,11,5.639
2006,12,5.639
2007,1,5.856
2007,2,5.856
2007,3,5.856
2007,4,5.856
2007,5,5.856
2007,6,5.856
2007,7,5.856
2007,8,5.856
2007,9,5.856
2007,10,5.856
2007,11,5.856
2007,12,5.856
2008,1,5.677
2008,2,5.677
2008,3,5.677
2008,4,5.677
2008,5,5.677
2008,6,5.677
2008,7,5.677
2008,8,5.677
2008,9,5.677
2008,10,5.677
2008,11,5.677
2008,12,5.677
2009,1,5.677
2009,2,5.677
2009,3,5.677
2009,4,5.677
2009,5,5.677
2009,6,5.677
2009,7,5.677
2009,8,5.677
2009,9,5.677
2009,10,5.677
2009,11,5.677
2009,12,5.677
